Loss 4.9566183208852355e-06, Test Accuracy 0.9887173840533132, Train Accuracy 1.0, Val Accuracy 0.9761521598567133, Test Seq Accuracy 0.7815000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5175000000000001
Loss 2.7548749526233776e-06, Test Accuracy 0.9887173840533132, Train Accuracy 1.0, Val Accuracy 0.9765434651271157, Test Seq Accuracy 0.7815000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5190000000000001
Loss 2.090619882042317e-06, Test Accuracy 0.9889565143896186, Train Accuracy 1.0, Val Accuracy 0.9765652042368184, Test Seq Accuracy 0.7820000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5190000000000001
Loss 1.868579799876265e-06, Test Accuracy 0.9890108621638755, Train Accuracy 1.0, Val Accuracy 0.9758586827827537, Test Seq Accuracy 0.7825000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.50075
Loss 0.0008433525167081667, Test Accuracy 0.994086951924407, Train Accuracy 0.9997691511737634, Val Accuracy 0.9799130337393802, Test Seq Accuracy 0.8639999999999999, Train Seq Accuracy 0.994690476190478, Val Seq Accuracy 0.5642500000000001
Loss 1.1002291854389984e-05, Test Accuracy 0.9914239065802616, Train Accuracy 1.0, Val Accuracy 0.9827173827782921, Test Seq Accuracy 0.80275, Train Seq Accuracy 1.0, Val Seq Accuracy 0.62375
Loss 7.593319700706912e-06, Test Accuracy 0.9919782558213109, Train Accuracy 1.0, Val Accuracy 0.9828043394762537, Test Seq Accuracy 0.8154999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6242500000000001
Loss 4.769822344710321e-06, Test Accuracy 0.9919782558213109, Train Accuracy 1.0, Val Accuracy 0.9840326005997865, Test Seq Accuracy 0.8154999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.64525
Loss 3.1086464372018107e-05, Test Accuracy 0.9930652122134748, Train Accuracy 0.9999958592171995, Val Accuracy 0.9766521633967109, Test Seq Accuracy 0.8404999999999999, Train Seq Accuracy 0.9999047619047619, Val Seq Accuracy 0.5085000000000002
Loss 0.0006845325393521267, Test Accuracy 0.9924673879924027, Train Accuracy 0.9999917184343989, Val Accuracy 0.9800978172084559, Test Seq Accuracy 0.82675, Train Seq Accuracy 0.9998095238095238, Val Seq Accuracy 0.5602500000000001
Loss 2.2682523273903392e-05, Test Accuracy 0.9978369543085928, Train Accuracy 0.9999989648042998, Val Accuracy 0.9835217290598414, Test Seq Accuracy 0.9502499999999999, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.6317499999999999
